Region,Location,date,Ave_PF,SD_PF,Num_note,Recorder
ONA,Azores,06/12/2011,21.8,1.346694065,54,EAR
ONA,Azores,12/12/2011,22.09325843,1.598991,89,EAR
ONA,Azores,19/12/2011,22.38214286,0.96496155,28,EAR
ONA,Azores,03/01/2012,21.86190476,0.764510425,21,EAR
ONA,Azores,06/01/2012,21.93333333,1.024209124,78,EAR
ONA,Azores,12/01/2012,21.58983051,0.838655516,59,EAR
ONA,Azores,17/01/2012,22.01153846,1.395602877,52,EAR
ONA,Azores,20/01/2012,22.418125,1.262515801,160,EAR
ONA,Azores,04/02/2012,22.95849057,1.247525853,53,EAR
ONA,Azores,11/02/2012,21.97,1.91151682,30,EAR
ONA,Azores,14/02/2012,21.06,1.960236291,20,EAR
ONA,Azores,25/02/2012,23.30487805,0.861365903,82,EAR
ONA,Azores,02/03/2012,21.37384615,0.686767092,65,EAR
ONA,Azores,04/03/2012,23.11052632,1.165663729,19,EAR
Barents Sea,W Svalbard,09/10/2014,22.640625,0.712678879,96,AR
Barents Sea,W Svalbard,18/10/2014,22.778,0.441375401,50,AR
Barents Sea,W Svalbard,20/10/2014,21.76,2.120720289,45,AR
Canary Islands,South Lanzarote,02/11/2014,20.772,0.768807203,125,OBS
Canary Islands,South Lanzarote,05/11/2014,20.96115702,0.804505221,121,OBS
Canary Islands,South Lanzarote,08/11/2014,20.65789474,0.648196236,114,OBS
Canary Islands,South Lanzarote,17/11/2014,21.21346154,0.716480736,52,OBS
Canary Islands,South Lanzarote,20/11/2014,20.56849315,0.689781912,73,OBS
Canary Islands,South Lanzarote,23/11/2014,19.96792453,0.427773118,53,OBS
Canary Islands,South Lanzarote,26/11/2014,20.54363636,0.93606023,55,OBS
Canary Islands,South Lanzarote,29/11/2014,20.37777778,0.666760557,72,OBS
Canary Islands,South Lanzarote,14/12/2014,20.88080808,1.384880218,99,OBS
Canary Islands,South Lanzarote,17/12/2014,20.83846154,0.597070966,130,OBS
Canary Islands,South Lanzarote,20/12/2014,20.38831169,0.593378823,77,OBS
Canary Islands,South Lanzarote,29/12/2014,20.49919355,0.693113157,124,OBS
Canary Islands,South Lanzarote,31/12/2014,21.02916667,0.814592784,96,OBS
Canary Islands,South Lanzarote,03/01/2015,20.58275862,0.710852696,58,OBS
Canary Islands,South Lanzarote,06/01/2015,20.65555556,0.639181867,54,OBS
Canary Islands,South Lanzarote,12/01/2015,20.97809524,0.592579263,105,OBS
Canary Islands,South Lanzarote,18/01/2015,20.1173913,0.472219146,92,OBS
Canary Islands,South Lanzarote,21/01/2015,20.53658537,0.677511179,164,OBS
Canary Islands,South Lanzarote,26/01/2015,20.831,0.89247075,100,OBS
Canary Islands,South Lanzarote,28/01/2015,20.78681319,0.762191109,91,OBS
Canary Islands,South Lanzarote,30/01/2015,20.78161765,0.715044905,136,OBS
Celtic Sea,North Porcupine,01/10/2015,21.05769231,0.639039154,52,AR
Celtic Sea,North Porcupine,06/10/2015,21.31447368,0.745796867,152,AR
Barents Sea,W Svalbard,08/10/2015,20.65384615,0.375533808,13,AR
Iberia,Gorringe,08/10/2015,21.69736842,0.98871657,38,EAR
Iberia,Gorringe,12/10/2015,21.05714286,1.37209233,14,EAR
Celtic Sea,North Porcupine,20/10/2015,20.54878049,0.646021806,82,AR
Iberia,Gorringe,24/10/2015,21.39512195,1.232872909,41,EAR
Iberia,Gorringe,31/10/2015,21.96875,1.111586704,16,EAR
Iberia,Gorringe,06/11/2015,21.45322581,1.141631658,124,EAR
Barents Sea,W Svalbard,13/11/2015,19.70526316,0.894721362,19,AR
Iberia,Gorringe,06/12/2015,21.68372093,1.229620742,86,EAR
Iberia,Gorringe,10/12/2015,21.05689655,1.264101271,116,EAR
Iberia,Gorringe,12/12/2015,21.12105263,1.196652514,38,EAR
Iberia,Gorringe,15/12/2015,21.21896552,0.938916303,58,EAR
Iberia,Gorringe,18/12/2015,21.57708333,0.556294573,48,EAR
Iberia,Gorringe,20/12/2015,21.67142857,1.616212504,21,EAR
Iberia,Gorringe,28/12/2015,21.21428571,0.726273039,14,EAR
Iberia,Gorringe,04/01/2016,20.9744186,1.36086335,43,EAR
Iberia,Gorringe,06/01/2016,21.79473684,0.965789075,19,EAR
Iberia,Gorringe,08/01/2016,21.4875,0.996215665,24,EAR
Iberia,Gorringe,10/01/2016,21.31818182,0.588489886,22,EAR
Barents Sea,W Svalbard,12/01/2016,23.52,0.817384638,35,AR
Iberia,Gorringe,12/01/2016,21.22698413,1.62958597,63,EAR
Iberia,Gorringe,15/01/2016,20.78235294,1.560859492,51,EAR
Iberia,Gorringe,17/01/2016,21.625,1.047262746,28,EAR
Iberia,Gorringe,19/01/2016,20.67586207,1.126199415,29,EAR
Iberia,Gorringe,21/01/2016,22.3483871,1.304574252,31,EAR
Iberia,Gorringe,24/01/2016,21.43846154,1.588712717,39,EAR
Iberia,Gorringe,01/02/2016,21.28275862,1.093183087,29,EAR
Iberia,Gorringe,03/02/2016,21.86451613,0.915623062,31,EAR
Iberia,Gorringe,17/02/2016,21.684,0.89428115,50,EAR
Iberia,Gorringe,25/02/2016,21.91111111,1.251299978,18,EAR
Iberia,Gorringe,27/02/2016,21.195,0.966532054,20,EAR
Iberia,Gorringe,06/03/2016,21.77951807,1.505255755,83,EAR
Celtic Sea,South Porcupine,20/03/2016,21.015625,0.776483475,64,AR
Celtic Sea,South Porcupine,04/10/2016,20.96185567,0.941678831,97,AR
Celtic Sea,South Porcupine,08/10/2016,20.77586207,0.840771403,29,AR
Celtic Sea,South Porcupine,12/10/2016,21.27042254,1.006322068,71,AR
Celtic Sea,South Porcupine,18/10/2016,21.13030303,1.222058043,132,AR
Celtic Sea,South Porcupine,21/10/2016,21.23457944,1.058220543,107,AR
Celtic Sea,South Porcupine,29/10/2016,20.87349398,0.776339808,83,AR
Celtic Sea,South Porcupine,02/11/2016,20.82555556,1.219371832,90,AR
ONA,Azores,24/02/2017,21.55487805,1.121633777,82,EAR
ONA,Azores,27/02/2017,21.7,0.677365137,35,EAR
ONA,Azores,02/03/2017,21.90883978,0.8101641,181,EAR
ONA,Azores,06/03/2017,21.81,0.81534739,140,EAR
ONA,Azores,09/03/2017,21.42696629,0.750570093,89,EAR
ONA,Azores,12/03/2017,22.43137255,0.959268512,51,EAR
ONA,Azores,16/03/2017,21.49444444,0.669039893,18,EAR
ONA,Azores,18/03/2017,21.77830189,1.128167897,106,EAR
ONA,Azores,26/03/2017,22.22727273,1.141060998,55,EAR
ONA,Azores,18/12/2017,21.55507246,0.981594608,345,EAR
Barents Sea,Vesteralen,02/01/2018,21.43478261,0.777217149,69,AR
ONA,Azores,08/01/2018,21.5234375,0.734791232,64,EAR
Barents Sea,Vesteralen,09/01/2018,20.89380531,0.988169591,113,AR
ONA,Azores,11/01/2018,22.34424779,1.418999777,113,EAR
ONA,Azores,13/01/2018,21.75909091,1.389641643,22,EAR
Barents Sea,Vesteralen,25/01/2018,20.77803468,0.853639717,173,AR
Barents Sea,Vesteralen,26/01/2018,20.48695652,0.943423717,46,AR
Barents Sea,Vesteralen,18/02/2018,21.0072,1.487104569,125,AR
Barents Sea,Vesteralen,21/02/2018,20.49019608,0.60139801,153,AR
Barents Sea,Vesteralen,23/02/2018,20.74573643,0.724461843,129,AR
Barents Sea,Vesteralen,26/02/2018,20.29327731,1.087660457,119,AR
ONA,Azores,20/03/2019,21.39583333,0.721687836,48,EAR
ONA,Azores,22/12/2019,20.84418605,1.052503212,43,EAR
ONA,Azores,01/01/2020,22.02307692,0.933602633,52,EAR
ONA,Azores,24/01/2020,21.87283951,1.487112331,81,EAR
ONA,Azores,31/01/2020,21.17807018,1.331560982,114,EAR
ONA,Azores,03/02/2020,21.3046875,1.049630273,64,EAR
ONA,Azores,05/02/2020,21.33367003,0.760563668,297,EAR
ONA,Azores,13/02/2020,20.53225806,0.982645103,31,EAR
ONA,Azores,22/02/2020,21.096,0.990151504,25,EAR
ONA,Azores,27/02/2020,21.50126582,1.445352197,158,EAR
ONA,Azores,11/03/2020,22.1212766,1.541023964,47,EAR
ONA,Azores,17/03/2020,21.8440678,1.272964391,59,EAR
ONA,Azores,21/03/2020,21.76612903,1.099618943,62,EAR
